文件,输入MB,输出MB,状态
units\Bridget_Squad_Valerie_00.png,0.63,0.10,OK
units\Bridget_Squad_Valerie_01.png,2.32,0.32,OK
units\Chongye_Squad_Elice_02.png,5.92,0.40,OK
units\Chongye_Squad_Elice_00.png,0.83,0.17,OK
units\Chongye_Squad_Golia_02.png,1.56,0.13,OK
units\Chongye_Squad_Elice_01.png,1.87,0.30,OK
units\Chongye_Squad_Golia_00.png,1.00,0.18,OK
units\Chongye_Squad_Golia_01.png,2.01,0.28,OK
units\Chongye_Squad_Mabel_02.png,5.63,0.31,OK
units\Chongye_Squad_Mabel_00.png,0.80,0.14,OK
units\Crows_Eyest_Squad_An_02.png,4.86,0.24,OK
units\Crows_Eyest_Squad_An_00.png,0.89,0.12,OK
units\Crows_Eyest_Squad_An_01.png,1.69,0.20,OK
units\Chongye_Squad_Mabel_01.png,1.95,0.38,OK
units\Crows_Eyest_Squad_Hiki_02.png,5.42,0.33,OK
units\Crows_Eyest_Squad_Hiki_00.png,0.82,0.12,OK
units\Crows_Eyest_Squad_Mulin_02.png,5.11,0.25,OK
units\Crows_Eyest_Squad_Hiki_01.png,1.60,0.18,OK
units\Crows_Eyest_Squad_Mulin_00.png,0.84,0.11,OK
units\Danu_Squad_Banshee_02.png,5.78,0.26,OK
units\Danu_Squad_Banshee_00.png,1.19,0.15,OK
units\Crows_Eyest_Squad_Mulin_01.png,1.67,0.20,OK
units\Danu_Squad_SilverArm_02.png,5.87,0.23,OK
units\Danu_Squad_SilverArm_01.png,2.00,0.24,OK
units\Danu_Squad_SilverArm_00.png,0.78,0.09,OK
units\Danu_Squad_Wendy_02.png,6.15,0.32,OK
units\Danu_Squad_Wendy_00.png,0.90,0.15,OK
units\Danu_Squad_Banshee_01.png,2.36,0.34,OK
units\Danu_Squad_Wendy_01.png,1.92,0.32,OK
units\Dream_Guardians_Squad-Haifa_01.png,1.51,0.10,OK
units\Dream_Guardians_Squad-Martina_01.png,1.32,0.08,OK
units\Dream_Guardians_Squad-Saikui_01.png,1.43,0.10,OK
units\Dream_Guardians_Squad-Haifa_00.png,0.59,0.09,OK
units\FanLing_Squad_Lucia_01.png,6.01,0.26,OK
units\Dream_Guardians_Squad-Martina_00.png,0.65,0.10,OK
units\Dream_Guardians_Squad-Saikui_00.png,0.76,0.12,OK
units\FanLing_Squad_Nafu_01.png,1.52,0.10,OK
units\FanLing_Squad_Lucia_00.png,0.64,0.09,OK
units\FanLing_Squad_Wasi_01.png,1.39,0.08,OK
units\FanLing_Squad_Nafu_00.png,0.72,0.11,OK
units\Ghost_Squad_Antina_02.png,6.00,0.26,OK
units\FanLing_Squad_Wasi_00.png,0.58,0.08,OK
units\Ghost_Squad_Antina_00.png,0.82,0.13,OK
units\Ghost_Squad_Valen_02.png,5.99,0.28,OK
